instance_id,benchmark,language,file_count_bucket,harness,cond,arm,seed,model,status_taxonomy,legit,resolved,f2p_pass,f2p_total,p2p_pass,p2p_total,cost_usd,total_cost_usd,turns,tokens_total,patch_bytes,modified_files,wall_clock_secs,n_surfaced,first_gold_rank,acc@1,acc@3,acc@5,acc@10,recall@1,recall@3,recall@5,recall@10,n_gold,edit_precision,edit_recall,loc_metric
instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,0,0,1.5261339999999999,1.526134,40,14003,8961,8,515.7,34,1,1,1,1,1,0.125,0.375,0.375,0.375,8,0.5,0.5,agent_targeted_v3
instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,0,0,1.3283302500000003,1.32833,40,12512,10538,7,437.83,42,1,1,1,1,1,0.125,0.125,0.125,0.375,8,0.5714,0.5,agent_targeted_v3
instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,0,0,2.0780052500000004,2.078005,61,19175,11264,10,436.23,80,1,1,1,1,1,0.125,0.125,0.125,0.25,8,0.6,0.75,agent_targeted_v3
google__gson-2071,polybench,java,1,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,12,12,0.5502410000000001,0.550241,19,5137,3077,2,152.63,8,1,1,1,1,1,1.0,1.0,1.0,1.0,1,0.5,1.0,agent_targeted_v3
google__gson-2071,polybench,java,1,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,12,12,0.3544485000000001,0.354449,19,5005,3115,2,131.05,16,7,0,0,0,1,0.0,0.0,0.0,1.0,1,0.5,1.0,agent_targeted_v3
google__gson-2071,polybench,java,1,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,12,12,0.5016312500000001,0.501631,21,7041,3104,2,122.98,11,6,0,0,0,1,0.0,0.0,0.0,1.0,1,0.5,1.0,agent_targeted_v3
keras-team__keras-18553,polybench,python,1,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,unresolved,1,0,0,2,0,88,0.42413375,0.424134,14,4445,0,0,246.17,8,,0,0,0,0,0.0,0.0,0.0,0.0,1,,0.0,agent_targeted_v3
keras-team__keras-18553,polybench,python,1,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,unresolved,1,0,0,2,88,88,0.74780725,0.747807,31,9111,1035,1,247.85,39,31,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,agent_targeted_v3
keras-team__keras-18553,polybench,python,1,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,unresolved,1,0,0,2,88,88,1.0259264999999997,1.025926,47,10835,1094,1,397.49,19,11,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,agent_targeted_v3
instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,pro,python,3+,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,unresolved,1,0,0,4,14,14,0.9305679999999998,0.930568,26,5945,1849,2,235.51,13,1,1,1,1,1,0.2,0.6,0.8,0.8,5,1.0,0.4,agent_targeted_v3
