appendix_pilot,instance_id,benchmark,language,file_count_bucket,harness,cond,arm,seed,model,status_taxonomy,legit,resolved,f2p_pass,f2p_total,p2p_pass,p2p_total,cost_usd,total_cost_usd,turns,tokens_total,patch_bytes,modified_files,wall_clock_secs,n_surfaced,first_gold_rank,acc@1,acc@3,acc@5,acc@10,recall@1,recall@3,recall@5,recall@10,n_gold,edit_precision,edit_recall,loc_metric
1,instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,supercoder,on,SC-ON,0,opus,resolved,1,1,1,1,0,0,1.5261339999999999,1.526134,40,14003,8961,8,515.7,53,1,1,1,1,1,0.125,0.375,0.375,0.375,8,0.5,0.5,surfaced_v2
1,instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,supercoder,off,SC-OFF,0,opus,resolved,1,1,1,1,0,0,1.3283302500000003,1.32833,40,12512,10538,7,437.83,42,1,1,1,1,1,0.125,0.125,0.125,0.375,8,0.5714,0.5,surfaced_v2
1,instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,opencode,l1,OpenCode,0,kimi,resolved,1,1,1,1,0,0,0.6890148800000001,0.689015,68,212042,7446,7,569.62,103,14,0,0,0,0,0.0,0.0,0.0,0.0,8,0.7143,0.625,surfaced_v2
1,instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,opencode,l1,OpenCode,0,opus,resolved,1,1,1,1,0,0,2.0780052500000004,2.078005,61,19175,11264,10,436.23,80,1,1,1,1,1,0.125,0.125,0.125,0.25,8,0.6,0.75,surfaced_v2
1,instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,aider,l1,Aider,0,kimi,resolved,1,1,1,1,0,0,0.06903485,0.069035,4,35524,3414,2,164.32,2,1,1,1,1,1,0.125,0.25,0.25,0.25,8,1.0,0.25,surfaced_v2
1,instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,aider,l1,Aider,0,opus,unresolved,1,0,0,1,0,0,0.63665,0.63665,4,3664,0,0,56.46,11,2,0,1,1,1,0.0,0.125,0.375,0.375,8,,0.0,surfaced_v2
1,google__gson-2071,polybench,java,1,supercoder,on,SC-ON,0,kimi,resolved,1,1,1,1,12,12,0.25800398999999996,0.258004,26,95275,3196,2,219.32,14,8,0,0,0,1,0.0,0.0,0.0,1.0,1,0.5,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,supercoder,off,SC-OFF,0,kimi,resolved,1,1,1,1,12,12,0.17173025999999994,0.17173,24,72131,3162,2,217.11,17,6,0,0,0,1,0.0,0.0,0.0,1.0,1,0.5,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,supercoder,on,SC-ON,0,opus,resolved,1,1,1,1,12,12,0.5502410000000001,0.550241,19,5137,3077,2,152.63,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1,0.5,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,supercoder,off,SC-OFF,0,opus,resolved,1,1,1,1,12,12,0.3544485000000001,0.354449,19,5005,3115,2,131.05,16,7,0,0,0,1,0.0,0.0,0.0,1.0,1,0.5,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,opencode,l1,OpenCode,0,kimi,resolved,1,1,1,1,12,12,0.18493925000000003,0.184939,24,89642,3474,2,200.08,18,5,0,0,1,1,0.0,0.0,1.0,1.0,1,0.5,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,opencode,l1,OpenCode,0,opus,resolved,1,1,1,1,12,12,0.5016312500000001,0.501631,21,7041,3104,2,122.98,11,6,0,0,0,1,0.0,0.0,0.0,1.0,1,0.5,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,aider,l1,Aider,0,kimi,resolved,1,1,1,1,12,12,0.060226180000000004,0.060226,4,29699,1709,1,100.66,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,aider,l1,Aider,0,opus,resolved,1,1,1,1,12,12,0.18577500000000002,0.185775,2,857,1799,1,20.44,2,2,0,1,1,1,0.0,1.0,1.0,1.0,1,1.0,1.0,surfaced_v2
